Month,Best_Route,Delay_%,Cost_per_km,Avg_Days,Score
Jan,Surat-Mumbai,9.09,75.54727272727273,1.1818181818181819,0.1546
Feb,Bangalore-Hyderabad,0.0,80.24625,1.875,0.1741
Mar,Mumbai-Pune,8.33,85.10000000000001,1.0833333333333333,0.2518
Apr,Surat-Mumbai,6.25,72.665625,1.0625,0.0847
May,Mumbai-Pune,12.5,82.278125,1.4375,0.2852
Jun,Surat-Mumbai,0.0,91.35142857142857,1.0,0.2388
Jul,Delhi-Amritsar,9.09,84.42181818181818,1.2272727272727273,0.2619
Aug,Kolkata-Bhubaneswar,0.0,86.61727272727272,1.0,0.1834
Sep,Delhi-Amritsar,0.0,84.7023076923077,1.0,0.1609
Oct,Bangalore-Hyderabad,0.0,70.95545454545454,1.9090909090909092,0.0678
Nov,Delhi-Jaipur,0.0,82.90249999999999,1.0,0.1399
Dec,Chennai-Bangalore,0.0,87.17,1.0,0.1898
