Order_ID,Shipment_Date,Delivery_Date,Origin_State,Destination_State,Route,Distance_km,Truck_Type,Weight_kg,Freight_Cost_INR,Fuel_Cost_INR,Cost_per_km,Expected_Delivery_Days,Actual_Delivery_Days,Delivery_Time_Days,Delay_Flag,Load_Utilization_%,Driver_Experience_Yrs,Weather_Condition,Road_Condition,Month,Month_Name,Year
IND10000,2022-11-13,2022-11-14,Odisha,Maharashtra,Hyderabad-Pune,559,Medium Truck,12868,58422.02,5705.58,104.51,2,1,1,0,57,13,Fog,Good,11,Nov,2022
IND10001,2023-12-23,2023-12-24,Madhya Pradesh,Maharashtra,Mumbai-Pune,149,Heavy Truck,24487,15134.01,1396.3,101.57,1,1,1,0,62,14,Rain,Good,12,Dec,2023
IND10002,2024-04-21,2024-04-23,Tamil Nadu,West Bengal,Delhi-Kolkata,1472,Medium Truck,10635,144718.89,19769.39,98.31,3,2,2,0,60,16,Clear,Good,4,Apr,2024
IND10003,2022-11-22,2022-11-24,Tamil Nadu,Maharashtra,Nagpur-Mumbai,856,Heavy Truck,29604,68166.32,10734.42,79.63,2,2,2,0,83,4,Clear,Poor,11,Nov,2022
IND10004,2022-11-24,2022-11-26,Maharashtra,Maharashtra,Hyderabad-Pune,559,Heavy Truck,32427,64078.04,6866.11,114.63,2,2,2,0,73,17,Fog,Good,11,Nov,2022
IND10005,2020-09-04,2020-09-05,Maharashtra,Karnataka,Chennai-Bangalore,346,Medium Truck,13817,19066.05,4385.83,55.1,1,1,1,0,71,10,Clear,Average,9,Sep,2020
IND10006,2022-07-10,2022-07-12,Odisha,Maharashtra,Ahmedabad-Mumbai,524,Medium Truck,6042,55663.54,5060.48,106.23,2,2,2,0,64,7,Fog,Poor,7,Jul,2022
IND10007,2024-04-21,2024-04-23,Haryana,Maharashtra,Hyderabad-Pune,559,Medium Truck,3814,36372.06,6211.89,65.07,2,2,2,0,87,13,Clear,Average,4,Apr,2024
IND10008,2021-06-13,2021-06-14,Karnataka,Maharashtra,Surat-Mumbai,284,Heavy Truck,37006,20641.68,3530.91,72.68,1,1,1,0,67,13,Storm,Good,6,Jun,2021
IND10009,2024-01-31,2024-02-02,Bihar,Telangana,Bangalore-Hyderabad,575,Medium Truck,13386,49657.05,7162.29,86.36,2,2,2,0,81,14,Fog,Average,1,Jan,2024
IND10010,2021-09-20,2021-09-22,Odisha,Delhi,Lucknow-Delhi,555,Heavy Truck,26692,58156.15,7516.34,104.79,2,2,2,0,96,6,Rain,Average,9,Sep,2021
IND10011,2022-04-18,2022-04-25,Uttar Pradesh,Delhi,Lucknow-Delhi,555,Medium Truck,10332,60327.08,5555.4,108.7,2,7,7,1,66,16,Clear,Average,4,Apr,2022
IND10012,2021-06-28,2021-06-29,Odisha,Maharashtra,Surat-Mumbai,284,Medium Truck,3309,25804.6,3803.43,90.86,1,1,1,0,56,9,Clear,Poor,6,Jun,2021
IND10013,2024-07-10,2024-07-11,Kerala,Punjab,Delhi-Amritsar,446,Medium Truck,9661,34882.77,4942.26,78.21,1,1,1,0,64,16,Fog,Average,7,Jul,2024
IND10014,2022-04-17,2022-04-18,Telangana,Maharashtra,Mumbai-Pune,149,Medium Truck,13253,17322.02,1890.99,116.26,1,1,1,0,75,12,Fog,Average,4,Apr,2022
IND10015,2021-07-20,2021-07-23,Tamil Nadu,Maharashtra,Delhi-Mumbai,1400,Heavy Truck,35611,94159.09,15666.05,67.26,3,3,3,0,77,16,Clear,Poor,7,Jul,2021
IND10016,2021-11-01,2021-11-03,Delhi,Telangana,Bangalore-Hyderabad,575,Light Van,2377,61074.56,8418.16,106.22,2,2,2,0,55,5,Clear,Average,11,Nov,2021
IND10017,2021-10-17,2021-10-19,Rajasthan,Maharashtra,Hyderabad-Pune,559,Medium Truck,13994,51899.5,5173.61,92.84,2,2,2,0,87,11,Fog,Average,10,Oct,2021
